id,English,Hebrew
0,about,אודות
1,as,כמו
2,both,שניהם
3,comparatively,באופן יחסי
4,correspondingly,בהתאמה
5,e.g.,לדוגמה
6,equally,במידה שווה
7,for example,לדוגמה
8,for instance,לדוגמה
9,identically,באופן זהה
10,in other words,במילים אחרות
11,in the same way,באותו אופן
12,just as,בדיוק כמו
13,like,כמו
14,likewise,כמו כן באותו אופן
15,similarly,באופן דומה
16,such as,כמו למשל
17,that,ש
18,above all,מעל לכל
19,absolutely,לחלוטין
20,both... and ...,... גם... וגם...
21,certainly,בהחלט בוודאי
22,chiefly,בעיקר
23,either... or ...,... או... או
24,especially,במיוחד
25,essentially,בעיקרו במהותו
26,however,בכל דרך
27,in fact,למעשה
28,in general,באופן כללי
29,in particular,במיוחד
30,incidentally,דרך אגב
31,indeed,בהחלט
32,just as... so...,...בדיוק כמו... גם
33,mainly,בעיקר
34,markedly,בצורה ניכרת
35,namely,במיוחד כלומר
36,neither... nor...,... לא... ולא
37,not only... but also ...,... לא רק... אלא גם
38,not... but ...,... לא... אבל
39,notably,ראוי לציון
40,of course,כמובן בוודאי
41,particularly,במיוחד בפרט
42,primarily,בעיקר
43,significantly,באופן משמעותי
44,specifically,במיוחד
45,surely,ללא ספק
46,surprisingly,במפתיע
47,too,יותר מידי
48,truly,באמת
49,undoubtedly,ללא ספק
50,whether... or…  ... ...,... … בין אם... או...
51,additionally,בנוסף
52,along with,יחד עם
53,also,גם
54,and,ו
55,as well as,כמו גם
56,aside from,חוץ מ
57,besides,בנוסף על
58,besides,מלבד חוץ מ
59,but,מלבד חוץ מ
60,coupled with,יחד עם
61,except,מלבד חוץ מ
62,furthermore,זאת ועוד
63,in addition,בנוסף
64,including,כולל
65,moreover,זאת ועוד
66,not only,לא רק
67,not to mention,שלא לדבר על
68,together with,יחד עם
69,too,גם
70,with,באמצעות עם
71,without,מבלי ללא
72,despite,למרות
73,even so,אף על פי כן
74,even though,למרות ש
75,however,למרות זאת
76,in spite of,למרות
77,nevertheless,למרות זאת
78,nonetheless,למרות זאת
79,after,אחרי
80,afterwards,לאחר מכן
81,again,שוב
82,as,כאשר כש
83,as long as,כל עוד
84,as soon as,כאשר ברגע ש
85,at first,בהתחלה
86,at last,סוף סוף
87,before,לפני
88,by,עד לא יאוחר מ
89,currently,כרגע נכון לעכשיו
90,during,תוך כדי במשך
91,earlier,קודם לכן
92,eventually,לבסוף
93,finally,לבסוף סוף סוף
94,first of all,ראשית
95,former,קודם לשעבר
96,from,מ
97,further,בהמשך
98,immediately,מיד
99,in a moment,בעוד רגע
100,in due time,בבוא העת
101,initially,בתחילה
102,instantly,מיד
103,last,אחרון
104,later,מאוחר יותר
105,meanwhile,בינתיים
106,next,הבא
107,now,עכשיו
108,once,פעם (בעבר)
109,once,ברגע ש
110,past,עבר שעבר
111,presently,כעת
112,previously,הקודם לפני כן
113,prior to,קודם ל  לפני
114,shortly,בקיצור בקרוב
115,simultaneously,בו זמנית
116,since,מאז
117,soon,בהקדם מוקדם
118,still,עדיין למרות זאת
119,suddenly,לפתע
120,then,אז
121,to begin with,בתור התחלה
122,until,עד ש
123,until now,עד עתה
124,when,כאשר כש
125,whenever,כש  מתישהו
126,while,בזמן ש
127,yet,עדיין בכל זאת
128,backward,לאחור
129,down,למטה
130,forward,קדימה לפנים
131,further,לקדם
132,left,שמאלה
133,right,ימינה
134,sideways,הצידה
135,toward,אל אל עבר
136,upon,על
137,upside down,הפוך
138,about,ליד בערך
139,above,מעל
140,across,בצד השני לרוחב
141,adjacent to,ליד
142,against,כנגד ממול
143,ahead of,לפני לפנים
144,along,לאורך
145,alongside,לצד במקביל
146,amid,בקרב בין
147,among,בקרב בין
148,around,מסביב
149,at,אצל ב
150,before,לפני מול
151,behind,מאחורי
152,below,מתחת
153,beneath,מתחת
154,beside,ליד
155,between,בין
156,beyond,מעבר
157,by,ליד בסמוך ל
158,close,קרוב
159,distant,מרוחק
160,elsewhere,במקום אחר
161,farther,הלאה יותר
162,from,מ
163,here,כאן
164,in,ב  בתוך
165,in front of,בחזית של מול
166,inside,בתוך פנים
167,into,אל תוך
168,latter,שני אחרון
169,near,קרוב
170,nearby,ליד קרוב
171,next to,ליד
172,of,של מ
173,on,על
174,on top of,על מעל
175,opposite,מנוגד ממול
176,outside,חוץ
177,outside,בחוץ
178,over,על מעל
179,there,שם
180,under,מתחת
181,underneath,מתחת
182,up,למעלה
183,where,היכן איפה
184,wherever,בכל מקום לא משנה היכן
185,within,בתוך
186,albeit,אף על פי
187,although,למרות ש
